title,company,location,industry,skills,link
Principal Software Engineer / Remote (Polyglot Needed),Jobot,"Chicago, IL",Not Provided,Not Provided,https://jooble.org/away/5418213820834173445
Health Plan Digital & Technology Manager,ZS,"Chicago, IL",Not Provided,Not Provided,https://jooble.org/jdp/-2423460184716942300
Client Solutions Specialist (Analytics-Focused),Convey Health Solutions,"Chicago, IL",Not Provided,Not Provided,https://jooble.org/jdp/-6743710388599416343
Automation Technician/Machinist - Automation Department,Principal Manufacturing,"Broadview, IL",Not Provided,Not Provided,https://jooble.org/away/3406307340932016693
Robotic Technician,Aspen Guard LLC,"Chicago, IL",Not Provided,Not Provided,https://jooble.org/away/-2175777186298989344
Technology Risk Manager,Capital One,"Chicago, IL",Not Provided,Not Provided,https://jooble.org/jdp/2199478677937249137
CLOSED: Chief Technology Officer (CTO),"Digital Factory, Inc.","Chicago, IL",Not Provided,Not Provided,https://jooble.org/jdp/-7794758851193077458
Robotics Deployment Project Manager,Formic,"Chicago, IL",Not Provided,Not Provided,https://jooble.org/away/-8815000395709897755
Chief Technology Officer,Elios,"Chicago, IL",Not Provided,Not Provided,https://jooble.org/jdp/-5156330746841598600
"Sr Engineer, Software",Ritchie Bros.,"Westchester, IL",Not Provided,Not Provided,https://jooble.org/jdp/6789154040730994428
Technology Summer Analyst - NAELFY25,Accenture,"Chicago, IL",Not Provided,Not Provided,https://jooble.org/jdp/-6303138067570145998
Campus FPGA Engineer (Intern),Jump Trading,"Chicago, IL",Not Provided,Not Provided,https://jooble.org/jdp/1668684046279250485
Field Service Technician,RemX,"Chicago, IL",Not Provided,Not Provided,https://jooble.org/away/-5398987132727731840
Machine Learning Ops Engineer,McDonald's - Corporate,"Chicago, IL",Not Provided,Machine Learning,https://jooble.org/jdp/-1145220830180449524
"Sr. Partner Marketing Manager, Tech Alliances and Cloud Providers",Illumio,"Chicago, IL",Not Provided,Cloud,https://jooble.org/jdp/8180237238375834181
"User Experience Designer BlueRose Technologies Chicago, IL Interested Not Interested","Savvy, Inc.","Chicago, IL",Not Provided,Not Provided,https://jooble.org/jdp/6535259000724638597
IT Digital Employee Experience Analyst,World Wide Technology,"Chicago, IL",Not Provided,Not Provided,https://jooble.org/jdp/6435067132293393318
Residence Hall Director | Illinois Institute of Technology,Illinois Institute of Technology,"Chicago, IL",Not Provided,Not Provided,https://jooble.org/jdp/4042498494355107519
"Sr. Associate, Learning Technologies",Oak Street Health,"Chicago, IL",Not Provided,Not Provided,https://jooble.org/jdp/-5227694443015663167
